benchmark_id,scenario_id,method,feasibility,m0,m1,n_proxy_total,C_sources,nontransfer_scale,pehe_mean,pehe_sd,pehe_median,pehe_n,ate_hat_mean,ate_hat_sd,ate_hat_median,ate_hat_n,ate_abs_err_mean,ate_abs_err_sd,ate_abs_err_median,ate_abs_err_n,ate_bias_mean,ate_bias_sd,ate_bias_median,ate_bias_n,tau_corr_mean,tau_corr_sd,tau_corr_median,tau_corr_n,tau_kendall_mean,tau_kendall_sd,tau_kendall_median,tau_kendall_n,qini_auc_mean,qini_auc_sd,qini_auc_median,qini_auc_n,topk_10_ratio_mean,topk_10_ratio_sd,topk_10_ratio_median,topk_10_ratio_n,topk_20_ratio_mean,topk_20_ratio_sd,topk_20_ratio_median,topk_20_ratio_n,topk_30_ratio_mean,topk_30_ratio_sd,topk_30_ratio_median,topk_30_ratio_n,topk_10_captured_mean,topk_10_captured_sd,topk_10_captured_median,topk_10_captured_n,topk_20_captured_mean,topk_20_captured_sd,topk_20_captured_median,topk_20_captured_n,calib_slope_mean,calib_slope_sd,calib_slope_median,calib_slope_n,calib_intercept_mean,calib_intercept_sd,calib_intercept_median,calib_intercept_n,calib_r2_mean,calib_r2_sd,calib_r2_median,calib_r2_n,tau_ece_mean,tau_ece_sd,tau_ece_median,tau_ece_n,tau_mce_mean,tau_mce_sd,tau_mce_median,tau_mce_n,policy_value_mean,policy_value_sd,policy_value_median,policy_value_n,policy_regret_mean,policy_regret_sd,policy_regret_median,policy_regret_n,policy_value_top20_mean,policy_value_top20_sd,policy_value_top20_median,policy_value_top20_n,policy_regret_top20_mean,policy_regret_top20_sd,policy_regret_top20_median,policy_regret_top20_n,stage2_lambda_mean,stage2_lambda_sd,stage2_lambda_median,stage2_lambda_n,stage2_n_selected_mean,stage2_n_selected_sd,stage2_n_selected_median,stage2_n_selected_n,stepb_M_fro_norm_mean,stepb_M_fro_norm_sd,stepb_M_fro_norm_median,stepb_M_fro_norm_n,stepb_M_effective_rank_mean,stepb_M_effective_rank_sd,stepb_M_effective_rank_median,stepb_M_effective_rank_n,runtime_sec_mean,runtime_sec_sd,runtime_sec_median,runtime_sec_n,pehe_delta_vs_ProxyOnly,pehe_p_value,pehe_q_value,ate_hat_delta_vs_ProxyOnly,ate_hat_p_value,ate_hat_q_value,ate_abs_err_delta_vs_ProxyOnly,ate_abs_err_p_value,ate_abs_err_q_value,ate_bias_delta_vs_ProxyOnly,ate_bias_p_value,ate_bias_q_value,tau_corr_delta_vs_ProxyOnly,tau_corr_p_value,tau_corr_q_value,tau_kendall_delta_vs_ProxyOnly,tau_kendall_p_value,tau_kendall_q_value,qini_auc_delta_vs_ProxyOnly,qini_auc_p_value,qini_auc_q_value,topk_10_ratio_delta_vs_ProxyOnly,topk_10_ratio_p_value,topk_10_ratio_q_value,topk_20_ratio_delta_vs_ProxyOnly,topk_20_ratio_p_value,topk_20_ratio_q_value,topk_30_ratio_delta_vs_ProxyOnly,topk_30_ratio_p_value,topk_30_ratio_q_value,topk_10_captured_delta_vs_ProxyOnly,topk_10_captured_p_value,topk_10_captured_q_value,topk_20_captured_delta_vs_ProxyOnly,topk_20_captured_p_value,topk_20_captured_q_value,calib_slope_delta_vs_ProxyOnly,calib_slope_p_value,calib_slope_q_value,calib_intercept_delta_vs_ProxyOnly,calib_intercept_p_value,calib_intercept_q_value,calib_r2_delta_vs_ProxyOnly,calib_r2_p_value,calib_r2_q_value,tau_ece_delta_vs_ProxyOnly,tau_ece_p_value,tau_ece_q_value,tau_mce_delta_vs_ProxyOnly,tau_mce_p_value,tau_mce_q_value,policy_value_delta_vs_ProxyOnly,policy_value_p_value,policy_value_q_value,policy_regret_delta_vs_ProxyOnly,policy_regret_p_value,policy_regret_q_value,policy_value_top20_delta_vs_ProxyOnly,policy_value_top20_p_value,policy_value_top20_q_value,policy_regret_top20_delta_vs_ProxyOnly,policy_regret_top20_p_value,policy_regret_top20_q_value,stage2_lambda_delta_vs_ProxyOnly,stage2_lambda_p_value,stage2_lambda_q_value,stage2_n_selected_delta_vs_ProxyOnly,stage2_n_selected_p_value,stage2_n_selected_q_value,runtime_sec_delta_vs_ProxyOnly,runtime_sec_p_value,runtime_sec_q_value
gold_fair_sweep,0cb8fe452618,AnchorOnly,infeasible_no_target_treated,100,0,20000,10,0.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272737622261047,0.025183932090885087,1.0
gold_fair_sweep,0cb8fe452618,AnchorPlugin,FeasibleRestricted,100,0,20000,10,0.1,2.458324265015076,0.1836070909972144,2.458324265015076,2,-0.9172938067681431,0.14345024030295256,-0.9172938067681431,2,0.6221980266642185,0.026025444515652148,0.6221980266642185,2,0.018402768300411876,0.8799208877903145,0.018402768300411876,2,0.8025336165336165,0.04126673927667086,0.8025336165336165,2,0.6083363363363363,0.04196491175474279,0.6083363363363363,2,0.8179521132002211,0.03873465639569761,0.8179521132002211,2,0.8180863155235909,0.018318460650150328,0.8180863155235909,2,0.7718496751538937,0.006197951192189006,0.7718496751538937,2,0.7471870482510932,0.007536053031127418,0.7471870482510932,2,5.15525442335886,0.6664445292430364,5.15525442335886,2,3.676330295023644,0.701411069368182,3.676330295023644,2,0.9804268975126651,0.17265346953533808,0.9804268975126651,2,-0.023973463144291163,1.0354870798568303,-0.023973463144291163,2,0.6721137676643526,0.05985687586866965,0.6721137676643526,2,0.6406345528261261,0.052098629856868424,0.6406345528261261,2,1.572489505704537,0.18047901876913977,1.572489505704537,2,1.9811295449526378,0.0905479062970688,1.9811295449526378,2,0.3057067692945227,0.058403791141931546,0.3057067692945227,2,1.8241171035003132,0.20009060627692704,1.8241171035003132,2,0.21663757925799965,0.033822104505746624,0.21663757925799965,2,0.014666397856645766,0.017378111304477972,0.014666397856645766,2,28.5,2.1213203435596424,28.5,2,,,,0,,,,0,4.970611929893494,0.4170091799490937,4.970611929893494,2,-1.2481372079718371,0.10659451144444416,1.0,0.4519700516697225,0.2208839324692038,1.0,-0.16342847709376884,0.7791160675307962,1.0,0.4519700516697225,0.2208839324692038,1.0,0.3261123501123502,0.11616511926566754,1.0,0.27633033033033033,0.07395557485431996,1.0,0.3256586771768048,0.11614590287743716,1.0,0.39630748485734935,0.009000381867283871,1.0,0.3881764023937338,0.056862483960243924,1.0,0.39293322489183746,0.09664884446262241,1.0,2.5054015021812344,0.07668653044629055,1.0,1.8689317958411036,0.13566164369001757,1.0,0.17242780770132693,0.6389939204818552,1.0,-0.15526322439900084,0.581281040711525,1.0,0.43315479146576824,0.05492502106361589,1.0,-0.3153361785823176,0.6754936477948897,1.0,-0.4710200437612385,0.7840185709237211,1.0,0.5033859954461456,0.21869373771171943,1.0,-0.5033859954461456,0.21869373771171943,1.0,0.3737863591682208,0.13566164369001749,1.0,-0.3737863591682208,0.13566164369001749,1.0,0.014666397856645766,0.44397575692962293,1.0,28.5,0.03347541671314821,0.19420438621583327,-0.3021256923675537,0.17689089175546222,1.0
gold_fair_sweep,0cb8fe452618,DRLearner_PooledNoSite,infeasible_no_target_treated,100,0,20000,10,0.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272737622261047,0.025183932090885087,1.0
gold_fair_sweep,0cb8fe452618,DRLearner_PooledWithSite,infeasible_no_target_treated,100,0,20000,10,0.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272737622261047,0.025183932090885087,1.0
gold_fair_sweep,0cb8fe452618,EntropyBalancing,FeasibleRestricted,100,0,20000,10,0.1,2.0643182900896635,0.08770131775672978,2.0643182900896635,2,-0.6078222168030515,0.6864044051206781,-0.6078222168030515,2,0.3278743582655035,0.05006624236668378,0.3278743582655035,2,0.3278743582655035,0.05006624236668378,0.3278743582655035,2,0.8626171966171967,9.708020128282262e-05,0.8626171966171967,2,0.6806486486486487,0.004467725728578057,0.6806486486486487,2,0.8769635418465211,0.0015491819787518098,0.8769635418465211,2,0.866310024778357,0.018502206839284857,0.866310024778357,2,0.8563846505674453,0.02695481393382396,0.8563846505674453,2,0.8400690261310918,0.04090314512329886,0.8400690261310918,2,5.45956936404469,0.7113856918402983,5.45956936404469,2,4.087710696905011,0.8737932565495655,4.087710696905011,2,0.8491467698043362,0.043938862122623025,0.8491467698043362,2,-0.4346462173134124,0.1803195806788478,-0.4346462173134124,2,0.7763734490780986,0.0076338091805623134,0.7763734490780986,2,0.5892845330493063,0.1508855008531667,0.5892845330493063,2,1.377266509911605,0.2175064780251626,1.377266509911605,2,2.0845756245889637,0.024790370685034677,2.0845756245889637,2,0.20226068965819688,0.007353744470102582,0.20226068965819688,2,1.9063931838765866,0.1656141688406504,1.9063931838765866,2,0.13436149888172622,0.0006543329305300335,0.13436149888172622,2,,,,0,,,,0,,,,0,,,,0,2.540418028831482,0.11735115618282269,2.540418028831482,2,-1.6421431828972497,0.1531344441594093,1.0,0.7614416416348141,0.4952760496576661,1.0,-0.4577521454924839,0.5077054610920064,1.0,0.7614416416348141,0.4952760496576661,1.0,0.38619593019593024,0.14464261428135733,1.0,0.34864264264264266,0.11748203921422491,1.0,0.38467010582310485,0.14406517555393372,1.0,0.4445311941121155,0.00783806738861589,1.0,0.47271137780728545,0.06634366597633466,1.0,0.4858152027718361,0.10862829229666948,1.0,2.809716442867064,0.07555689892622795,1.0,2.2803121977224707,0.14440321020518607,1.0,0.041147679992998176,0.8567289703653905,1.0,-0.5659359785681221,0.3944582587345905,1.0,0.5374144728795143,0.10007962388047231,1.0,-0.3666861983591375,0.6661592649909609,1.0,-0.6662430395541704,0.7101653509746677,1.0,0.6068320750824714,0.22748005326017026,1.0,-0.6068320750824714,0.22748005326017026,1.0,0.4560624395444942,0.14440321020518593,1.0,-0.4560624395444942,0.14440321020518593,1.0,,,,,,,-2.7323195934295654,0.02926985419496123,1.0
gold_fair_sweep,0cb8fe452618,IPWTransport,FeasibleRestricted,100,0,20000,10,0.1,1.9474441782403589,0.018399183607436937,1.9474441782403589,2,-0.5691726246471618,0.6310732413919564,-0.5691726246471618,2,0.36652395042139324,0.1053974060954055,0.36652395042139324,2,0.36652395042139324,0.1053974060954055,0.36652395042139324,2,0.8764377244377246,0.008816470722745934,0.8764377244377246,2,0.6978618618618619,0.006845982770406714,0.6978618618618619,2,0.8897841059329448,0.006201388717124853,0.8897841059329448,2,0.8823258234952335,0.010297068796636399,0.8823258234952335,2,0.8727254034700591,0.008758976047113749,0.8727254034700591,2,0.856397557743015,0.036378460562532425,0.856397557743015,2,5.574431775760896,0.9084863327597577,5.574431775760896,2,4.157564872723245,0.8014148133511516,4.157564872723245,2,0.8728203389693019,0.029069397232314935,0.8728203389693019,2,-0.44808359126032615,0.2022025921408062,-0.44808359126032615,2,0.7982278360176993,0.005356819272217946,0.7982278360176993,2,0.5163531561474177,0.10904820061929872,0.5163531561474177,2,1.2286133879978252,0.39578484993209695,1.2286133879978252,2,2.097603322910161,0.04707876590401625,2.097603322910161,2,0.18923299133699922,0.014934650748878987,0.18923299133699922,2,1.9203640190402331,0.18008985748033318,1.9203640190402331,2,0.12039066371807972,0.013821355709152758,0.12039066371807972,2,,,,0,,,,0,,,,0,,,,0,0.9247289896011353,0.07016287024044955,0.9247289896011353,2,-1.7590172947465543,0.12636094072022236,1.0,0.8000912337907039,0.4625535754839138,1.0,-0.41910255333659413,0.560915878814052,1.0,0.8000912337907039,0.4625535754839138,1.0,0.40001645801645813,0.13043031755309217,1.0,0.3658558558558559,0.0985280771562676,1.0,0.3974906699095285,0.1311819055804876,1.0,0.46054699282899203,0.03567810941914231,1.0,0.48905213070989917,0.04752286923139693,1.0,0.5021437343837593,0.1012102948968952,1.0,2.9245788545832703,0.10237858709708027,1.0,2.350166373540704,0.1269894139258149,1.0,0.06482124915796383,0.7671219186154199,1.0,-0.5793733525150359,0.37583353103634976,1.0,0.5592688598191149,0.08598602648482183,1.0,-0.439617575261026,0.5996427927072789,1.0,-0.8148961614679503,0.6808387361084793,1.0,0.619859773403669,0.20869011478356955,1.0,-0.619859773403669,0.20869011478356955,1.0,0.4700332747081407,0.12698941392581478,1.0,-0.4700332747081407,0.12698941392581478,1.0,,,,,,,-4.348008632659912,0.03777566565712883,1.0
gold_fair_sweep,0cb8fe452618,OutcomeModelTransport,FeasibleRestricted,100,0,20000,10,0.1,1.8893086488749302,0.014061659570323355,1.8893086488749302,2,-0.5018131929781643,0.5935467177642758,-0.5018131929781643,2,0.4338833820903907,0.142923929723086,0.4338833820903907,2,0.4338833820903907,0.142923929723086,0.4338833820903907,2,0.8842624822624823,0.013293640578937442,0.8842624822624823,2,0.7081521521521522,0.013097401280356224,0.7081521521521522,2,0.8969358329193828,0.010174385472002273,0.8969358329193828,2,0.8773589626683617,0.02623117722180216,0.8773589626683617,2,0.8831627994118607,0.0027447078986463916,0.8831627994118607,2,0.8684996702145009,0.027391827915561245,0.8684996702145009,2,5.550695799246172,1.004319055635192,5.550695799246172,2,4.202234745947621,0.7557487988746988,4.202234745947621,2,0.88775814696727,0.014961884749701785,0.88775814696727,2,-0.4946481135389078,0.21705278434566289,-0.4946481135389078,2,0.810705291273889,0.01101207570650145,0.810705291273889,2,0.5246398885430059,0.12415714132388049,0.5246398885430059,2,1.2594916095937978,0.43347034441506743,1.2594916095937978,2,2.1026760754939167,0.048136595276367086,2.1026760754939167,2,0.18416023875324394,0.015992480121229828,0.18416023875324394,2,1.9292979936851085,0.1892230603756238,1.9292979936851085,2,0.11145668907320438,0.022954558604443384,0.11145668907320438,2,,,,0,,,,0,,,,0,,,,0,0.10161280632019043,0.05214070922979722,0.10161280632019043,2,-1.8171528241119828,0.11465306514529754,1.0,0.8674506654597012,0.42532622751444044,1.0,-0.3517431216675967,0.6295368806134201,1.0,0.8674506654597012,0.42532622751444044,1.0,0.40784121584121585,0.12324366618917487,1.0,0.3761461461461462,0.08854823570984177,1.0,0.40464239689596654,0.12467995743249269,1.0,0.4555801320021202,0.051735173046516786,1.0,0.49948952665170077,0.036209809105334057,1.0,0.5142458468552452,0.09117438044951227,1.0,2.900842878068546,0.11762968543707887,1.0,2.3948362467650806,0.11640175064653016,1.0,0.07975905715593185,0.7044061346759185,1.0,-0.6259378747936175,0.3456544085459282,1.0,0.5717463150753047,0.07975230387333748,1.0,-0.4313308428654378,0.6106481823179841,1.0,-0.7840179398719777,0.6957362594124734,1.0,0.6249325259874243,0.20642918006519753,1.0,-0.6249325259874243,0.20642918006519753,1.0,0.47896724935301604,0.11640175064653001,1.0,-0.47896724935301604,0.11640175064653001,1.0,,,,,,,-5.171124815940857,0.030208474580027116,1.0
gold_fair_sweep,0cb8fe452618,ProposedA,infeasible_no_target_treated,100,0,20000,10,0.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272737622261047,0.025183932090885087,1.0
gold_fair_sweep,0cb8fe452618,ProposedA_Direct,infeasible_no_target_treated,100,0,20000,10,0.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272737622261047,0.025183932090885087,1.0
gold_fair_sweep,0cb8fe452618,ProposedA_Direct_NoCrossfit,infeasible_no_target_treated,100,0,20000,10,0.1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.272737622261047,0.025183932090885087,1.0
